word,n
workforce,72
intelligence,35
company,33
data,29
employee,16
job,16
software,15
hire,12
talent,12
market,11
drive,8
invest,8
labor,8
remote,8
analysis,7
covid19,7
hr,7
manage,7
position,7
tech,7
women,7
benefit,6
business,6
career,6
compete,6
culture,6
pay,6
skill,6
workplace,6
ai,5
america,5
effect,5
grow,5
layoff,5
special,5
top,5
war,5
city,4
corporate,4
digest,4
diversity,4
firm,4
foreign,4
impact,4
industry,4
law,4
move,4
office,4
officer,4
resignation,4
return,4
school,4
transparency,4
braindrain,3
care,3
chief,3
college,3
crypto,3
current,3
datadriven,3
day,3
diverse,3
fund,3
future,3
gender,3
green,3
head,3
hedge,3
intern,3
key,3
lead,3
learn,3
leave,3
low,3
make,3
merger,3
phd,3
power,3
process,3
promote,3
startup,3
strategy,3
succeed,3
survive,3
time,3
track,3
transform,3
turnover,3
win,3
